lane,enemy,pick,reason
top,Darius,Quinn,遠距離からのハラスでダリウスの接近を許さず、レーンを一方的に支配できる。
top,Darius,Vayne,射程と機動力で張り付かれず、ダリウスのスタックを溜めさせない。
top,Darius,Kennen,スケーリングと射程で安全に立ち回り、集団戦でも一方的に削れる。
top,Garen,Vayne,真実の矢で固定割合ダメージを与え、ガレンの高耐久を無視して溶かせる。
top,Garen,Teemo,ブラインドで通常攻撃を無力化し、毒で削りながら距離を取れる。
top,Fiora,Malphite,アーマーで通常攻撃を軽減し、アルティメットでデュエルを拒否できる。
top,Fiora,Jax,スキルブロックでフィオラのバーストを受け流し、後半デュエルで勝てる。
jungle,LeeSin,Sejuani,序盤の小競り合いをタンク体力でいなし、スケールしてからCCで上回る。
jungle,LeeSin,Warwick,持続回復と確定CCで序盤の侵入をいなし、ガンク合戦で負けにくい。
jungle,Kayn,Vi,確定エンゲージで変身前のケインを捕まえ、序盤で主導権を取れる。
jungle,Kayn,JarvanIV,EQで強制的に距離を詰め、変身前の脆さを突いて潰せる。
mid,Zed,Lissandra,確定CCとセルフピールでゼドのオールインを無力化できる。
mid,Zed,Malzahar,パッシブシールドとサプレッションでゼドのバーストと暗殺を防げる。
mid,Zed,Kayle,無敵アルティメットでゼドのオールインを完全に受け切れる。
mid,Yasuo,Annie,確定スタンでヤスオの風壁を貫通してエンゲージを止められる。
mid,Yasuo,Malphite,アーマー積みで通常を軽減し、アルティメットで先に仕掛けられる。
bot,Caitlyn,Lucian,序盤のオールイン火力でケイトリンの射程有利を覆せる。
bot,Caitlyn,Draven,序盤の手数とダメージで主導権を握り返せる。
bot,Jhin,Kaisa,機動力と継戦力でジンの硬直時間を突いて差し込める。
bot,Vayne,Caitlyn,長射程で序盤に主導権を握り、ヴェインを育つ前に潰せる。
support,Pyke,Janna,ノックアップとシールドでパイクのオールインを安全に捌ける。
support,Pyke,Morgana,ブラックシールドでフックを無効化し、確定スネアで返せる。
support,Leona,Morgana,ブラックシールドでレオナの確定CCを止め、エンゲージを空振りさせる。
support,Thresh,Morgana,ブラックシールドでフックを無効化し、相手の起点を消せる。
